create_date,id,title,views,bookmarks,width,height,bookmark/h,view/h,book_view_rate,view_book_rate,url
2022-12-18T22:42:31+09:00,103715121,enamel,131,44,1792,2816,5.17,15.40,0.34,2.98,www.pixiv.net/artworks/103715121
2022-12-18T12:27:52+09:00,103699424,👑,354,111,3200,1920,5.92,18.88,0.31,3.19,www.pixiv.net/artworks/103699424
2022-12-17T20:41:15+09:00,103681307,🏢,313,77,2560,1792,2.23,9.06,0.25,4.06,www.pixiv.net/artworks/103681307
2022-12-16T20:38:40+09:00,103652323,🍁,401,98,2688,2048,1.67,6.85,0.24,4.09,www.pixiv.net/artworks/103652323
2022-12-15T20:00:38+09:00,103626267,红 III,454,108,2048,1536,1.30,5.46,0.24,4.20,www.pixiv.net/artworks/103626267
2022-12-15T15:48:26+09:00,103621262,🚷,403,107,1664,1920,1.22,4.61,0.27,3.77,www.pixiv.net/artworks/103621262
2022-12-15T13:18:19+09:00,103619433,画虎,651,229,1536,2048,2.55,7.24,0.35,2.84,www.pixiv.net/artworks/103619433
2022-12-15T13:13:52+09:00,103619362,照猫,442,122,1536,2048,1.36,4.91,0.28,3.62,www.pixiv.net/artworks/103619362
2022-12-15T12:00:07+09:00,103618414,清,364,102,1536,2048,1.12,3.99,0.28,3.57,www.pixiv.net/artworks/103618414
2022-12-15T11:30:01+09:00,103618014,无题,506,245,1536,2048,2.67,5.52,0.48,2.07,www.pixiv.net/artworks/103618014
2022-12-15T11:00:01+09:00,103617654,无题,423,141,1536,2048,1.53,4.59,0.33,3.00,www.pixiv.net/artworks/103617654
2022-12-14T18:17:41+09:00,103599882,温室,327,75,1536,2048,0.69,3.00,0.23,4.36,www.pixiv.net/artworks/103599882
2022-12-14T18:14:12+09:00,103599807,码头,343,85,1536,2048,0.78,3.15,0.25,4.04,www.pixiv.net/artworks/103599807
2022-12-14T15:39:33+09:00,103597058,磷,514,166,1536,2304,1.49,4.61,0.32,3.10,www.pixiv.net/artworks/103597058
2022-12-14T13:56:41+09:00,103595604,砷,379,82,1536,2048,0.72,3.35,0.22,4.62,www.pixiv.net/artworks/103595604
2022-12-14T13:38:00+09:00,103595361,ミク1.3,467,98,1792,1536,0.86,4.11,0.21,4.77,www.pixiv.net/artworks/103595361
2022-12-14T13:26:14+09:00,103595201,ミク1.2,350,70,1792,1536,0.62,3.08,0.20,5.00,www.pixiv.net/artworks/103595201
2022-12-14T13:22:10+09:00,103595156,ミク1.1,298,56,1792,1536,0.49,2.62,0.19,5.32,www.pixiv.net/artworks/103595156
2022-12-14T11:30:01+09:00,103593596,👻,226,80,1536,2048,0.69,1.95,0.35,2.83,www.pixiv.net/artworks/103593596
2022-12-10T20:06:49+09:00,103496353,浮,773,226,1536,2304,1.11,3.81,0.29,3.42,www.pixiv.net/artworks/103496353
2022-12-10T11:40:26+09:00,103485258,沉,638,172,1536,2304,0.81,3.02,0.27,3.71,www.pixiv.net/artworks/103485258
2022-12-10T08:22:39+09:00,103482424,花,1008,419,1536,2048,1.95,4.69,0.42,2.41,www.pixiv.net/artworks/103482424
2022-12-01T22:39:57+09:00,103258323,海,938,216,1536,2048,0.52,2.25,0.23,4.34,www.pixiv.net/artworks/103258323
2022-11-29T19:23:09+09:00,103198710,卧室,1370,372,2048,1536,0.80,2.93,0.27,3.68,www.pixiv.net/artworks/103198710
2022-11-29T19:14:02+09:00,103198520,眼,1388,447,2048,1536,0.96,2.97,0.32,3.11,www.pixiv.net/artworks/103198520
2022-11-29T14:04:29+09:00,103193000,手,2459,889,1536,1920,1.88,5.20,0.36,2.77,www.pixiv.net/artworks/103193000
2022-11-25T11:06:01+09:00,103078682,黑,1025,272,2176,2816,0.48,1.79,0.27,3.77,www.pixiv.net/artworks/103078682
2022-11-25T11:03:17+09:00,103078635,白,1844,666,2176,2816,1.16,3.22,0.36,2.77,www.pixiv.net/artworks/103078635
2022-11-20T21:31:15+09:00,102959418,ミク0.1,4805,1739,2304,2304,2.55,7.05,0.36,2.76,www.pixiv.net/artworks/102959418
2022-11-19T19:42:23+09:00,102924397,一般男性,1530,304,1536,1862,0.43,2.16,0.20,5.03,www.pixiv.net/artworks/102924397
2022-11-18T12:20:21+09:00,102885312,灰,4488,1813,2176,1536,2.45,6.07,0.40,2.48,www.pixiv.net/artworks/102885312
2022-11-18T12:18:02+09:00,102885270,红 II,1779,564,2164,1536,0.76,2.41,0.32,3.15,www.pixiv.net/artworks/102885270
2022-11-18T12:00:22+09:00,102884950,banner,974,176,3072,1664,0.24,1.32,0.18,5.53,www.pixiv.net/artworks/102884950
2022-11-18T11:57:44+09:00,102884852,街头风,984,202,1408,1792,0.27,1.33,0.21,4.87,www.pixiv.net/artworks/102884852
2022-11-16T23:39:34+09:00,102849964,📀,1725,462,1792,1536,0.60,2.22,0.27,3.73,www.pixiv.net/artworks/102849964
2022-11-16T23:33:35+09:00,102849795,💿,3183,1147,1792,1536,1.48,4.10,0.36,2.78,www.pixiv.net/artworks/102849795
2022-11-16T23:28:40+09:00,102849642,☕,1796,510,1664,1664,0.66,2.32,0.28,3.52,www.pixiv.net/artworks/102849642
2022-11-16T23:15:06+09:00,102849238,☕,858,164,1664,1664,0.21,1.11,0.19,5.23,www.pixiv.net/artworks/102849238
2022-11-16T21:17:42+09:00,102845533,逆行,760,59,3072,1664,0.08,0.98,0.08,12.88,www.pixiv.net/artworks/102845533
2022-11-16T03:27:39+09:00,102829590,水 III,4528,1520,1536,1792,1.91,5.69,0.34,2.98,www.pixiv.net/artworks/102829590
2022-11-14T22:23:34+09:00,102796250,米酷,1522,318,1792,2432,0.39,1.85,0.21,4.79,www.pixiv.net/artworks/102796250
2022-11-10T17:32:51+09:00,102670240,ミク,10536,4618,1536,2304,4.99,11.38,0.44,2.28,www.pixiv.net/artworks/102670240
2022-11-10T16:04:51+09:00,102668681,ミク0,2297,691,2816,2816,0.75,2.48,0.30,3.32,www.pixiv.net/artworks/102668681
2022-11-10T10:30:34+09:00,102663896,水 II,1108,407,1536,2304,0.44,1.19,0.37,2.72,www.pixiv.net/artworks/102663896
2022-11-10T10:28:21+09:00,102663852,水,5156,2743,1536,2304,2.94,5.53,0.53,1.88,www.pixiv.net/artworks/102663852
2022-11-10T10:26:16+09:00,102663824,无题,818,222,1280,1792,0.24,0.88,0.27,3.68,www.pixiv.net/artworks/102663824
2022-11-10T03:51:05+09:00,102659878,很多猫猫,480,55,4608,3328,0.06,0.51,0.11,8.73,www.pixiv.net/artworks/102659878
2022-11-08T05:04:09+09:00,102609893,无题,509,44,1536,2304,0.04,0.52,0.09,11.57,www.pixiv.net/artworks/102609893
2022-11-07T01:24:31+09:00,102580433,红,543,66,768,1152,0.07,0.54,0.12,8.23,www.pixiv.net/artworks/102580433
